species,file,n,aba_obs,aba_z,aba_p,tail_obs,tail_z,tail_p,bound_rho,bound_z,bound_p,clade,learning_category
Pongo_pygmaeus,XC960775_-_Bornean_Orangutan_-_Pongo_pygmaeus.wav,17,,-0.1619032776913172,0.6461769115442278,,0.1950238332125023,0.5002498750624688,,,0.9115442278860568,primate,nonlearner
Saccopteryx_bilineata,Figure_S1,157,,-4.184348345370803,1.0,,15.788210178301991,0.0004997501249375,,0.4983207332939428,0.31984007996002,bat,production_learner
Monachus_monachus,2021/10/6,478,,-1.5555589638622966,0.9455272363818092,,5.485585788981672,0.0004997501249375,,2.5085265495873075,0.0049975012493753,pinniped,unclassified
Monachus_monachus,2021/10/5,166,,-0.3738094766417359,0.6781609195402298,,1.8580877485384315,0.0529735132433783,,-0.5325122018665516,0.6976511744127936,pinniped,unclassified
Monachus_monachus,2021/9/27,120,,-1.2882000080754852,0.91904047976012,,1.868362242112888,0.0524737631184407,,-0.5070711091706772,0.6976511744127936,pinniped,unclassified
Monachus_monachus,2021/10/4,55,,-1.7304957019779197,0.9810094952523738,,1.794773733017064,0.0434782608695652,,-0.108168819347614,0.5492253873063468,pinniped,unclassified
Monachus_monachus,2021/9/28,19,,-0.1055100594822751,0.6261869065467266,,0.082907900298972,0.5727136431784108,,-0.4784302237237071,0.6701649175412294,pinniped,unclassified
Monachus_monachus,2021/9/30,16,,-1.8145396290732727,1.0,,2.2142812201303403,0.0294852573713143,,,0.0609695152423788,pinniped,unclassified
Monachus_monachus,2021/10/12,15,,0.4581493509976418,0.4117941029485257,,0.4614867198539882,0.4052973513243378,,,0.0519740129935032,pinniped,unclassified
Balaena_mysticetus,1788559141223_Fram2010-33.mp3,169,,-2.00342631990317,0.9855072463768116,,4.438223416571597,0.0004997501249375,,-1.868965450486793,0.9740129935032484,cetacean,production_learner_candidate
Balaena_mysticetus,1788559141223_Fram2012-55.mp3,57,,2.7883119922670527,0.0054972513743128,,7.350680675831802,0.0004997501249375,,-3.0456927235202995,0.9995002498750624,cetacean,production_learner_candidate
